City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,petrozavodsk,61.7849,34.3469,271.85,86,36,2.0,RU,1679420877
121,talnakh,69.4865,88.3972,265.49,91,100,10.04,RU,1679420877
122,vallenar,-28.5708,-70.7581,303.0,35,0,3.88,CL,1679420878
123,gunjur,13.2019,-16.7339,302.19,51,0,6.17,GM,1679420878
124,haines junction,60.7522,-137.5108,266.12,63,36,0.0,CA,1679420878
125,saint-philippe,-21.3585,55.7679,299.92,88,68,4.37,RE,1679420879
126,sinop,41.7711,34.8709,277.39,88,36,0.98,TR,1679420879
127,namibe,-15.1961,12.1522,296.98,70,66,3.9,AO,1679420879
128,tulum,20.2167,-87.4667,300.6,56,8,4.21,MX,1679420880
129,norman wells,65.282,-126.8329,265.17,57,20,3.6,CA,1679420880
130,kintinku,-5.8833,35.2333,293.67,88,100,1.72,TZ,1679420881
131,kaitangata,-46.2817,169.8464,281.31,86,100,2.78,NZ,1679420881
132,georgetown,5.4112,100.3354,301.11,89,20,1.54,MY,1679420881
133,upernavik,72.7868,-56.1549,248.75,91,84,1.27,GL,1679420882
134,esperance,-33.8667,121.9,290.98,80,78,7.19,AU,1679420882
135,port hardy,50.6996,-127.4199,280.25,100,100,1.03,CA,1679420711
136,sao filipe,14.8961,-24.4956,295.9,75,39,5.77,CV,1679420883
137,petropavlovsk-kamchatskiy,53.0452,158.6483,267.48,63,0,2.0,RU,1679420883
138,gobabis,-22.45,18.9667,292.32,62,70,9.6,NA,1679420884
139,bosaso,11.2842,49.1816,301.45,73,30,1.11,SO,1679420644
140,annau,37.8876,58.516,290.87,36,75,3.09,TM,1679420885
141,sedhiou,12.7081,-15.5569,311.69,8,0,2.94,SN,1679420885
142,nyrob,60.733,56.7202,274.14,98,100,3.75,RU,1679420886
143,hobart,-42.8794,147.3294,286.51,80,100,3.6,AU,1679420704
144,florence,43.7667,11.25,289.97,65,0,1.54,IT,1679420886
145,leningradskiy,69.3833,178.4167,250.31,97,100,11.36,RU,1679420888
146,nalut,30.3333,10.85,290.39,59,80,10.48,LY,1679420888
147,east london,-33.0153,27.9116,292.67,72,0,4.63,ZA,1679420889
148,ippy,6.2679,21.2247,300.11,43,60,2.25,CF,1679420890
149,ancud,-41.8697,-73.8203,289.02,59,9,3.17,CL,1679420890
150,qandala,11.472,49.8728,301.98,73,37,0.99,SO,1679420892
151,port lincoln,-34.7333,135.8667,289.45,86,6,5.01,AU,1679420710
152,cap malheureux,-19.9842,57.6142,298.41,78,56,1.34,MU,1679420892
153,flin flon,54.7682,-101.865,261.06,72,100,2.57,CA,1679420893
154,cidreira,-30.1811,-50.2056,297.94,76,44,5.51,BR,1679420893
155,sao gabriel da cachoeira,-0.1303,-67.0892,305.04,79,0,1.54,BR,1679420894
156,sitka,57.0531,-135.33,274.09,86,0,2.06,US,1679420894
157,uberlandia,-18.9186,-48.2772,292.71,77,75,3.6,BR,1679420895
158,hofn,64.2539,-15.2082,272.31,89,100,18.16,IS,1679420895
159,marsh harbour,26.5412,-77.0636,294.82,58,0,5.45,BS,1679420895
160,butaritari,3.0707,172.7902,300.5,77,96,7.43,KI,1679420896
161,dongsheng,39.8161,109.9776,270.19,36,3,5.79,CN,1679420896
162,sol-iletsk,51.1631,54.9918,271.68,84,100,2.55,RU,1679420897
163,la mesa,32.7678,-117.0231,286.54,92,100,15.43,US,1679420860
164,kruisfontein,-34.0033,24.7314,293.09,76,0,6.24,ZA,1679420897
165,isangel,-19.55,169.2667,298.61,82,97,5.51,VU,1679420898
166,ajmer,26.45,74.6333,295.41,32,43,2.26,IN,1679420898
167,cravo norte,6.3017,-70.2041,309.84,25,81,5.58,CO,1679420899
168,general pico,-35.6566,-63.7568,293.12,65,100,4.01,AR,1679420899
169,puerto ayora,-0.7393,-90.3518,305.13,85,42,3.13,EC,1679420899
170,broome,42.2506,-75.833,287.3,36,33,2.68,US,1679420900
171,antofagasta,-23.65,-70.4,297.75,69,4,3.17,CL,1679420896
172,dauphin,51.1494,-100.0502,261.23,67,75,1.54,CA,1679420900
173,jamame,0.0722,42.7506,301.0,73,82,5.37,SO,1679420901
174,miraflores,19.2167,-98.8083,295.51,22,0,1.56,MX,1679420901
175,noumea,-22.2763,166.4572,294.14,82,4,3.77,NC,1679420902
176,khuzhir,53.1939,107.3397,258.02,66,100,5.18,RU,1679420902
177,kaka,37.3482,59.6143,290.27,31,51,2.26,TM,1679420902
178,ukiah,39.1502,-123.2078,281.13,93,100,3.09,US,1679420903
179,horodnya,51.8909,31.5974,280.66,93,98,2.7,UA,1679420904
180,harper,4.375,-7.7169,300.84,77,81,3.99,LR,1679420904
181,mount gambier,-37.8333,140.7667,286.28,95,41,1.58,AU,1679420904
182,dingle,10.9995,122.6711,295.31,80,4,2.62,PH,1679420905
183,wolomin,52.3401,21.2421,283.17,100,91,1.26,PL,1679420905
184,fortuna,40.5982,-124.1573,284.34,92,0,1.34,US,1679420905
185,fukue,32.6881,128.8419,288.79,93,100,3.53,JP,1679420906
186,san nicolas,18.1725,120.5953,297.09,78,65,0.9,PH,1679420906
187,yumen,40.2833,97.2,274.91,30,6,2.04,CN,1679420907
188,ndele,8.4109,20.6473,302.49,31,83,0.85,CF,1679420907
189,yeppoon,-23.1333,150.7333,296.03,72,98,7.57,AU,1679420908
190,bari sadri,24.4167,74.4667,297.54,28,66,1.12,IN,1679420909
